state,state_name,year,total,sheltered,unsheltered
NY,New York ,2009,61067.0,57454.0,3613.0
OH,Ohio ,2009,12700.0,10929.0,1771.0
OK,Oklahoma ,2009,4838.0,3307.0,1531.0
OR,Oregon ,2009,17309.0,7442.0,9867.0
PA,Pennsylvania ,2009,15096.0,13819.0,1277.0
RI,Rhode Island ,2009,1607.0,1556.0,51.0
SC,South Carolina ,2009,4473.0,3036.0,1437.0
SD,South Dakota ,2009,731.0,667.0,64.0
TN,Tennessee ,2009,10532.0,7133.0,3399.0
TX,Texas ,2009,36761.0,21658.0,15103.0
UT,Utah ,2009,3795.0,3540.0,255.0
VA,Virginia ,2009,8852.0,7284.0,1568.0
VT,Vermont ,2009,1214.0,1057.0,157.0
WA,Washington ,2009,22782.0,16237.0,6545.0
WI,Wisconsin ,2009,6525.0,5465.0,1060.0
WV,West Virginia ,2009,1667.0,1278.0,389.0
WY,Wyoming ,2009,515.0,451.0,64.0
AK,Alaska ,2008,1646.0,1452.0,194.0
AL,Alabama,2008,5387.0,3843.0,1544.0
AR,Arkansas ,2008,3255.0,2020.0,1235.0
AZ,Arizona ,2008,12488.0,6970.0,5518.0
CA,California ,2008,136531.0,46965.0,89566.0
CO,Colorado ,2008,14747.0,6877.0,7870.0
CT,Connecticut ,2008,4627.0,4020.0,607.0
DC,Washington DC,2008,6044.0,5666.0,378.0
DE,Delaware ,2008,933.0,862.0,71.0
FL,Florida ,2008,50158.0,20724.0,29434.0
GA,Georgia ,2008,19095.0,8865.0,10230.0
HI,Hawaii ,2008,6061.0,2703.0,3358.0
IA,Iowa ,2008,3346.0,3087.0,259.0
ID,Idaho ,2008,1464.0,1250.0,214.0
IL,Illinois ,2008,14724.0,11480.0,3244.0
IN,Indiana ,2008,7395.0,5923.0,1472.0
KS,Kansas ,2008,1738.0,1500.0,238.0
KY,Kentucky ,2008,8137.0,6195.0,1942.0
LA,Louisiana ,2008,5481.0,3700.0,1781.0
MA,Massachusetts ,2008,14506.0,13437.0,1069.0
MD,Maryland ,2008,9219.0,6054.0,3165.0
ME,Maine ,2008,2632.0,2588.0,44.0
MI,Michigan ,2008,28248.0,11781.0,16467.0
MN,Minnesota ,2008,7644.0,6270.0,1374.0
MO,Missouri ,2008,7687.0,5607.0,2080.0
MS,Mississippi ,2008,1961.0,1206.0,755.0
MT,Montana ,2008,1417.0,1007.0,410.0
NC,North Carolina ,2008,12411.0,8025.0,4386.0
ND,North Dakota ,2008,615.0,596.0,19.0
NE,Nebraska ,2008,3985.0,3227.0,758.0
NH,New Hampshire ,2008,2019.0,1535.0,484.0
NJ,New Jersey ,2008,13832.0,11860.0,1972.0
NM,New Mexico ,2008,3015.0,1748.0,1267.0
NV,Nevada ,2008,8726.0,4863.0,3863.0
NY,New York ,2008,61125.0,56516.0,4609.0
OH,Ohio ,2008,12912.0,10377.0,2535.0
OK,Oklahoma ,2008,3846.0,2803.0,1043.0
OR,Oregon ,2008,20653.0,9946.0,10707.0
PA,Pennsylvania ,2008,15378.0,14079.0,1299.0
RI,Rhode Island ,2008,1196.0,1142.0,54.0
SC,South Carolina ,2008,5660.0,3086.0,2574.0
SD,South Dakota ,2008,579.0,538.0,41.0
TN,Tennessee ,2008,9705.0,5660.0,4045.0
TX,Texas ,2008,40190.0,24080.0,16110.0
UT,Utah ,2008,3434.0,3178.0,256.0
VA,Virginia ,2008,8469.0,6895.0,1574.0
VT,Vermont ,2008,954.0,696.0,258.0
WA,Washington ,2008,21954.0,15456.0,6498.0
WI,Wisconsin ,2008,5449.0,4934.0,515.0
WV,West Virginia ,2008,2016.0,1422.0,594.0
WY,Wyoming ,2008,751.0,619.0,132.0
AK,Alaska ,2007,1642.0,1387.0,255.0
AL,Alabama,2007,5452.0,3796.0,1656.0
AR,Arkansas ,2007,3836.0,2285.0,1551.0
AZ,Arizona ,2007,14646.0,8618.0,6028.0
CA,California ,2007,138986.0,48511.0,90475.0
CO,Colorado ,2007,14225.0,6971.0,7254.0
CT,Connecticut ,2007,4482.0,3671.0,811.0
DC,Washington DC,2007,5320.0,4980.0,340.0
DE,Delaware ,2007,1061.0,854.0,207.0
