state,state_name,year,total,individual,family,yparent,ypchild,non_ypfam,sh_ind,uns_ind,sh_fam,uns_fam,sh_yparent,uns_yparent,sh_ypchild,uns_ypchild,sh_non_ypfam,uns_non_ypfam
DE,Delaware ,2014,901.0,584.0,317.0,,,,554.0,30.0,310.0,7.0,,,,,,
FL,Florida ,2014,41542.0,28730.0,12812.0,,,,12886.0,15844.0,6965.0,5847.0,,,,,,
GA,Georgia ,2014,16521.0,12403.0,4118.0,,,,4932.0,7471.0,3282.0,836.0,,,,,,
HI,Hawaii ,2014,6918.0,3750.0,3168.0,,,,1164.0,2586.0,2649.0,519.0,,,,,,
IA,Iowa ,2014,3122.0,1544.0,1578.0,,,,1368.0,176.0,1558.0,20.0,,,,,,
ID,Idaho ,2014,2104.0,1234.0,870.0,,,,848.0,386.0,620.0,250.0,,,,,,
IL,Illinois ,2014,13107.0,7350.0,5757.0,,,,5793.0,1557.0,5616.0,141.0,,,,,,
IN,Indiana ,2014,5971.0,3953.0,2018.0,,,,3560.0,393.0,2008.0,10.0,,,,,,
KS*,Kansas*,2014,2783.0,1533.0,1250.0,,,,1295.0,238.0,1239.0,11.0,,,,,,
KY,Kentucky ,2014,5089.0,3352.0,1737.0,,,,2805.0,547.0,1453.0,284.0,,,,,,
LA,Louisiana ,2014,4606.0,3444.0,1162.0,,,,2364.0,1080.0,1139.0,23.0,,,,,,
