location,bedroom_size,month,year,price
Arizona,Studio,10,2014,615.0
Arizona,Studio,10,2015,641.0
Arizona,Studio,10,2016,662.0
Arizona,Studio,10,2017,690.0
Arizona,Studio,11,2014,616.0
Arizona,Studio,11,2015,644.0
Arizona,Studio,11,2016,663.0
Arizona,Studio,11,2017,690.0
Arizona,Studio,12,2014,618.0
Arizona,Studio,12,2015,647.0
Arizona,Studio,12,2016,664.0
Arizona,Studio,12,2017,690.0
Arizona,1br,01,2014,709.0
Arizona,1br,01,2015,732.0
Arizona,1br,01,2016,763.0
Arizona,1br,01,2017,787.0
Arizona,1br,02,2014,712.0
Arizona,1br,02,2015,734.0
Arizona,1br,02,2016,763.0
Arizona,1br,02,2017,791.0
Arizona,1br,03,2014,714.0
Arizona,1br,03,2015,736.0
Arizona,1br,03,2016,765.0
Arizona,1br,03,2017,796.0
Arizona,1br,04,2014,716.0
Arizona,1br,04,2015,740.0
Arizona,1br,04,2016,770.0
Arizona,1br,04,2017,802.0
Arizona,1br,05,2014,718.0
Arizona,1br,05,2015,744.0
Arizona,1br,05,2016,773.0
Arizona,1br,05,2017,806.0
Arizona,1br,06,2014,720.0
Arizona,1br,06,2015,747.0
Arizona,1br,06,2016,773.0
Arizona,1br,06,2017,809.0
Arizona,1br,07,2014,723.0
Arizona,1br,07,2015,752.0
Arizona,1br,07,2016,775.0
Arizona,1br,07,2017,811.0
Arizona,1br,08,2014,724.0
Arizona,1br,08,2015,755.0
Arizona,1br,08,2016,777.0
Arizona,1br,08,2017,813.0
Arizona,1br,09,2014,725.0
Arizona,1br,09,2015,756.0
Arizona,1br,09,2016,780.0
Arizona,1br,09,2017,815.0
Arizona,1br,10,2014,726.0
Arizona,1br,10,2015,757.0
Arizona,1br,10,2016,782.0
Arizona,1br,10,2017,815.0
Arizona,1br,11,2014,728.0
Arizona,1br,11,2015,761.0
Arizona,1br,11,2016,783.0
Arizona,1br,11,2017,815.0
Arizona,1br,12,2014,730.0
Arizona,1br,12,2015,764.0
Arizona,1br,12,2016,785.0
Arizona,1br,12,2017,816.0
Arizona,2br,01,2014,896.0
Arizona,2br,01,2015,924.0
Arizona,2br,01,2016,964.0
Arizona,2br,01,2017,994.0
Arizona,2br,02,2014,900.0
Arizona,2br,02,2015,927.0
Arizona,2br,02,2016,964.0
Arizona,2br,02,2017,999.0
Arizona,2br,03,2014,902.0
Arizona,2br,03,2015,930.0
Arizona,2br,03,2016,966.0
Arizona,2br,03,2017,1005.0
Arizona,2br,04,2014,905.0
Arizona,2br,04,2015,935.0
Arizona,2br,04,2016,973.0
Arizona,2br,04,2017,1013.0
Arizona,2br,05,2014,907.0
Arizona,2br,05,2015,940.0
Arizona,2br,05,2016,976.0
Arizona,2br,05,2017,1018.0
Arizona,2br,06,2014,910.0
Arizona,2br,06,2015,944.0
Arizona,2br,06,2016,977.0
Arizona,2br,06,2017,1022.0
Arizona,2br,07,2014,913.0
Arizona,2br,07,2015,950.0
Arizona,2br,07,2016,979.0
Arizona,2br,07,2017,1025.0
Arizona,2br,08,2014,915.0
Arizona,2br,08,2015,954.0
Arizona,2br,08,2016,981.0
Arizona,2br,08,2017,1027.0
Arizona,2br,09,2014,916.0
Arizona,2br,09,2015,955.0
Arizona,2br,09,2016,985.0
Arizona,2br,09,2017,1029.0
Arizona,2br,10,2014,917.0
Arizona,2br,10,2015,957.0
Arizona,2br,10,2016,988.0
Arizona,2br,10,2017,1029.0
Arizona,2br,11,2014,920.0
Arizona,2br,11,2015,961.0
Arizona,2br,11,2016,990.0
Arizona,2br,11,2017,1029.0
Arizona,2br,12,2014,923.0
Arizona,2br,12,2015,965.0
Arizona,2br,12,2016,991.0
Arizona,2br,12,2017,1030.0
Arizona,3br,01,2014,1295.0
Arizona,3br,01,2015,1336.0
Arizona,3br,01,2016,1394.0
Arizona,3br,01,2017,1437.0
Arizona,3br,02,2014,1301.0
Arizona,3br,02,2015,1341.0
Arizona,3br,02,2016,1394.0
Arizona,3br,02,2017,1444.0
Arizona,3br,03,2014,1305.0
Arizona,3br,03,2015,1344.0
Arizona,3br,03,2016,1397.0
Arizona,3br,03,2017,1454.0
Arizona,3br,04,2014,1308.0
Arizona,3br,04,2015,1351.0
Arizona,3br,04,2016,1407.0
Arizona,3br,04,2017,1465.0
Arizona,3br,05,2014,1312.0
Arizona,3br,05,2015,1358.0
Arizona,3br,05,2016,1411.0
Arizona,3br,05,2017,1472.0
Arizona,3br,06,2014,1315.0
Arizona,3br,06,2015,1364.0
Arizona,3br,06,2016,1412.0
Arizona,3br,06,2017,1478.0
Arizona,3br,07,2014,1320.0
Arizona,3br,07,2015,1374.0
Arizona,3br,07,2016,1416.0
Arizona,3br,07,2017,1482.0
Arizona,3br,08,2014,1322.0
Arizona,3br,08,2015,1379.0
Arizona,3br,08,2016,1419.0
Arizona,3br,08,2017,1485.0
Arizona,3br,09,2014,1325.0
Arizona,3br,09,2015,1381.0
Arizona,3br,09,2016,1424.0
Arizona,3br,09,2017,1488.0
Arizona,3br,10,2014,1326.0
Arizona,3br,10,2015,1383.0
Arizona,3br,10,2016,1428.0
Arizona,3br,10,2017,1488.0
Arizona,3br,11,2014,1330.0
Arizona,3br,11,2015,1390.0
Arizona,3br,11,2016,1431.0
Arizona,3br,11,2017,1488.0
Arizona,3br,12,2014,1334.0
Arizona,3br,12,2015,1396.0
Arizona,3br,12,2016,1433.0
Arizona,3br,12,2017,1490.0
Arizona,4br,01,2014,1503.0
Arizona,4br,01,2015,1550.0
Arizona,4br,01,2016,1617.0
Arizona,4br,01,2017,1667.0
Arizona,4br,02,2014,1509.0
Arizona,4br,02,2015,1555.0
Arizona,4br,02,2016,1618.0
Arizona,4br,02,2017,1676.0
Arizona,4br,03,2014,1513.0
Arizona,4br,03,2015,1559.0
Arizona,4br,03,2016,1620.0
Arizona,4br,03,2017,1686.0
Arizona,4br,04,2014,1518.0
Arizona,4br,04,2015,1568.0
Arizona,4br,04,2016,1632.0
Arizona,4br,04,2017,1699.0
Arizona,4br,05,2014,1522.0
Arizona,4br,05,2015,1576.0
Arizona,4br,05,2016,1637.0
Arizona,4br,05,2017,1708.0
Arizona,4br,06,2014,1526.0
Arizona,4br,06,2015,1583.0
