state,state_name,year,total,youth,child,yadult,yparent,yparent_u18,yparent_18to24,ypchild,adult,non_ypfam,sh_youth,uns_youth,sh_child,uns_child,sh_yadult,uns_yadult,sh_yparent,uns_yparent,sh_yparent_u18,uns_yparent_u18,sh_yparent_18to24,uns_yparent_18to24,sh_ypchild,uns_ypchild,sh_adult,uns_adult,sh_non_ypfam,uns_non_ypfam
WY,Wyoming ,2017,873.0,62.0,19.0,43.0,16.0,0.0,16.0,11.0,560.0,224.0,43.0,19.0,6.0,13.0,37.0,6.0,13.0,3.0,0.0,0.0,13.0,3.0,8.0,3.0,340.0,220.0,106.0,118.0
AK,Alaska ,2016,1940.0,173.0,19.0,154.0,9.0,0.0,9.0,10.0,1354.0,394.0,137.0,36.0,19.0,0.0,118.0,36.0,9.0,0.0,0.0,0.0,9.0,0.0,10.0,0.0,952.0,402.0,390.0,4.0
AL,Alabama,2016,4111.0,254.0,28.0,226.0,31.0,5.0,26.0,45.0,2765.0,1016.0,173.0,81.0,28.0,0.0,145.0,81.0,25.0,6.0,5.0,0.0,20.0,6.0,39.0,6.0,1844.0,921.0,812.0,204.0
AR,Arkansas ,2016,2463.0,201.0,49.0,152.0,13.0,0.0,13.0,13.0,1637.0,599.0,117.0,84.0,49.0,0.0,68.0,84.0,13.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,1023.0,614.0,450.0,149.0
AZ,Arizona ,2016,9707.0,589.0,100.0,489.0,150.0,1.0,149.0,222.0,6070.0,2676.0,431.0,158.0,92.0,8.0,339.0,150.0,150.0,0.0,1.0,0.0,149.0,0.0,222.0,0.0,3133.0,2937.0,2527.0,149.0
CA,California ,2016,118142.0,11222.0,847.0,10375.0,862.0,10.0,852.0,1098.0,86438.0,18522.0,2531.0,8691.0,213.0,634.0,2318.0,8057.0,751.0,111.0,10.0,0.0,741.0,111.0,935.0,163.0,21189.0,65249.0,14346.0,4176.0
CO,Colorado ,2016,10550.0,653.0,39.0,614.0,157.0,2.0,155.0,217.0,5797.0,3726.0,383.0,270.0,26.0,13.0,357.0,257.0,133.0,24.0,1.0,1.0,132.0,23.0,187.0,30.0,3969.0,1828.0,2939.0,787.0
CT,Connecticut ,2016,3902.0,119.0,8.0,111.0,61.0,0.0,61.0,93.0,2451.0,1178.0,97.0,22.0,8.0,0.0,89.0,22.0,60.0,1.0,0.0,0.0,60.0,1.0,92.0,1.0,1806.0,645.0,1174.0,4.0
DC,Washington DC,2016,8350.0,211.0,10.0,201.0,527.0,0.0,527.0,688.0,3472.0,3452.0,178.0,33.0,10.0,0.0,168.0,33.0,527.0,0.0,0.0,0.0,527.0,0.0,688.0,0.0,3187.0,285.0,3452.0,0.0
DE,Delaware ,2016,1070.0,51.0,0.0,51.0,10.0,0.0,10.0,20.0,702.0,287.0,46.0,5.0,0.0,0.0,46.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,656.0,46.0,287.0,0.0
FL,Florida ,2016,33559.0,2094.0,514.0,1580.0,320.0,5.0,315.0,485.0,22107.0,8553.0,1106.0,988.0,279.0,235.0,827.0,753.0,237.0,83.0,5.0,0.0,232.0,83.0,383.0,102.0,10535.0,11572.0,5937.0,2616.0
GA,Georgia ,2016,12909.0,725.0,17.0,708.0,90.0,0.0,90.0,125.0,8540.0,3429.0,475.0,250.0,13.0,4.0,462.0,246.0,83.0,7.0,0.0,0.0,83.0,7.0,105.0,20.0,4310.0,4230.0,2570.0,859.0
HI,Hawaii ,2016,7921.0,309.0,26.0,283.0,92.0,1.0,91.0,85.0,4281.0,3154.0,82.0,227.0,6.0,20.0,76.0,207.0,52.0,40.0,0.0,1.0,52.0,39.0,50.0,35.0,1200.0,3081.0,2229.0,925.0
IA,Iowa ,2016,3064.0,160.0,18.0,142.0,112.0,0.0,112.0,177.0,1383.0,1232.0,150.0,10.0,18.0,0.0,132.0,10.0,112.0,0.0,0.0,0.0,112.0,0.0,177.0,0.0,1250.0,133.0,1232.0,0.0
ID,Idaho ,2016,2247.0,130.0,16.0,114.0,39.0,0.0,39.0,49.0,1154.0,875.0,89.0,41.0,14.0,2.0,75.0,39.0,24.0,15.0,0.0,0.0,24.0,15.0,31.0,18.0,797.0,357.0,568.0,307.0
IL,Illinois ,2016,11590.0,719.0,28.0,691.0,340.0,1.0,339.0,467.0,6267.0,3797.0,648.0,71.0,25.0,3.0,623.0,68.0,336.0,4.0,1.0,0.0,335.0,4.0,461.0,6.0,4578.0,1689.0,3713.0,84.0
IN,Indiana ,2016,5798.0,365.0,37.0,328.0,88.0,0.0,88.0,147.0,3459.0,1739.0,294.0,71.0,36.0,1.0,258.0,70.0,87.0,1.0,0.0,0.0,87.0,1.0,144.0,3.0,2864.0,595.0,1718.0,21.0
KS,Kansas ,2016,2255.0,106.0,19.0,87.0,17.0,0.0,17.0,23.0,1122.0,987.0,80.0,26.0,18.0,1.0,62.0,25.0,16.0,1.0,0.0,0.0,16.0,1.0,22.0,1.0,876.0,246.0,979.0,8.0
KY,Kentucky ,2016,4237.0,220.0,21.0,199.0,73.0,0.0,73.0,109.0,2729.0,1106.0,172.0,48.0,21.0,0.0,151.0,48.0,69.0,4.0,0.0,0.0,69.0,4.0,104.0,5.0,2228.0,501.0,958.0,148.0
LA,Louisiana ,2016,3994.0,408.0,63.0,345.0,47.0,1.0,46.0,85.0,2768.0,686.0,276.0,132.0,57.0,6.0,219.0,126.0,44.0,3.0,1.0,0.0,43.0,3.0,82.0,3.0,1793.0,975.0,658.0,28.0
MA,Massachusetts ,2016,19608.0,374.0,15.0,359.0,554.0,6.0,548.0,699.0,6060.0,11921.0,320.0,54.0,9.0,6.0,311.0,48.0,554.0,0.0,6.0,0.0,548.0,0.0,699.0,0.0,5370.0,690.0,11905.0,16.0
MD,Maryland ,2016,7689.0,279.0,15.0,264.0,148.0,0.0,148.0,225.0,4704.0,2333.0,185.0,94.0,5.0,10.0,180.0,84.0,141.0,7.0,0.0,0.0,141.0,7.0,216.0,9.0,3566.0,1138.0,2053.0,280.0
ME,Maine ,2016,2241.0,177.0,31.0,146.0,34.0,3.0,31.0,38.0,1144.0,848.0,161.0,16.0,29.0,2.0,132.0,14.0,32.0,2.0,3.0,0.0,29.0,2.0,37.0,1.0,1054.0,90.0,837.0,11.0
MI,Michigan ,2016,9316.0,725.0,102.0,623.0,251.0,6.0,245.0,381.0,5078.0,2881.0,624.0,101.0,98.0,4.0,526.0,97.0,248.0,3.0,6.0,0.0,242.0,3.0,376.0,5.0,4349.0,729.0,2759.0,122.0
MN,Minnesota ,2016,7341.0,730.0,89.0,641.0,254.0,9.0,245.0,377.0,2939.0,3041.0,613.0,117.0,75.0,14.0,538.0,103.0,251.0,3.0,9.0,0.0,242.0,3.0,374.0,3.0,2289.0,650.0,2925.0,116.0
MO,Missouri ,2016,6194.0,638.0,201.0,437.0,138.0,5.0,133.0,204.0,3172.0,2042.0,489.0,149.0,168.0,33.0,321.0,116.0,130.0,8.0,5.0,0.0,125.0,8.0,199.0,5.0,2341.0,831.0,1819.0,223.0
MS,Mississippi ,2016,1738.0,85.0,10.0,75.0,14.0,0.0,14.0,23.0,1214.0,402.0,45.0,40.0,10.0,0.0,35.0,40.0,5.0,9.0,0.0,0.0,5.0,9.0,7.0,16.0,511.0,703.0,321.0,81.0
MT,Montana ,2016,1418.0,100.0,13.0,87.0,22.0,0.0,22.0,22.0,744.0,530.0,52.0,48.0,4.0,9.0,48.0,39.0,16.0,6.0,0.0,0.0,16.0,6.0,18.0,4.0,391.0,353.0,311.0,219.0
NC,North Carolina ,2016,9559.0,497.0,65.0,432.0,135.0,0.0,135.0,200.0,5899.0,2828.0,385.0,112.0,55.0,10.0,330.0,102.0,120.0,15.0,0.0,0.0,120.0,15.0,185.0,15.0,4297.0,1602.0,2263.0,565.0
ND,North Dakota ,2016,923.0,74.0,10.0,64.0,13.0,0.0,13.0,18.0,588.0,230.0,61.0,13.0,10.0,0.0,51.0,13.0,9.0,4.0,0.0,0.0,9.0,4.0,10.0,8.0,448.0,140.0,179.0,51.0
NE,Nebraska ,2016,2754.0,238.0,40.0,198.0,34.0,0.0,34.0,44.0,1642.0,796.0,238.0,0.0,40.0,0.0,198.0,0.0,34.0,0.0,0.0,0.0,34.0,0.0,44.0,0.0,1541.0,101.0,796.0,0.0
NH,New Hampshire ,2016,1366.0,80.0,1.0,79.0,32.0,1.0,31.0,61.0,747.0,446.0,72.0,8.0,0.0,1.0,72.0,7.0,31.0,1.0,1.0,0.0,30.0,1.0,59.0,2.0,623.0,124.0,438.0,8.0
NJ,New Jersey ,2016,8895.0,533.0,34.0,499.0,269.0,0.0,269.0,337.0,5007.0,2749.0,470.0,63.0,34.0,0.0,436.0,63.0,266.0,3.0,0.0,0.0,266.0,3.0,333.0,4.0,3717.0,1290.0,2675.0,74.0
NM,New Mexico ,2016,2263.0,188.0,69.0,119.0,14.0,0.0,14.0,23.0,1368.0,670.0,163.0,25.0,68.0,1.0,95.0,24.0,14.0,0.0,0.0,0.0,14.0,0.0,23.0,0.0,964.0,404.0,645.0,25.0
NV,Nevada ,2016,7398.0,1672.0,292.0,1380.0,34.0,1.0,33.0,42.0,5181.0,469.0,309.0,1363.0,28.0,264.0,281.0,1099.0,29.0,5.0,1.0,0.0,28.0,5.0,37.0,5.0,2628.0,2553.0,468.0,1.0
NY,New York ,2016,86352.0,2889.0,188.0,2701.0,2724.0,11.0,2713.0,3311.0,32426.0,45002.0,2641.0,248.0,165.0,23.0,2476.0,225.0,2718.0,6.0,11.0,0.0,2707.0,6.0,3304.0,7.0,29152.0,3274.0,44946.0,56.0
OH,Ohio ,2016,10404.0,622.0,46.0,576.0,225.0,5.0,220.0,340.0,6324.0,2893.0,557.0,65.0,44.0,2.0,513.0,63.0,219.0,6.0,5.0,0.0,214.0,6.0,332.0,8.0,5333.0,991.0,2825.0,68.0
OK,Oklahoma ,2016,4107.0,410.0,39.0,371.0,50.0,0.0,50.0,70.0,2587.0,990.0,266.0,144.0,35.0,4.0,231.0,140.0,41.0,9.0,0.0,0.0,41.0,9.0,60.0,10.0,1854.0,733.0,866.0,124.0
OR,Oregon ,2016,13238.0,1175.0,236.0,939.0,133.0,0.0,133.0,169.0,8204.0,3557.0,418.0,757.0,58.0,178.0,360.0,579.0,92.0,41.0,0.0,0.0,92.0,41.0,119.0,50.0,3240.0,4964.0,1367.0,2190.0
PA,Pennsylvania ,2016,15339.0,868.0,63.0,805.0,549.0,4.0,545.0,779.0,7731.0,5412.0,736.0,132.0,45.0,18.0,691.0,114.0,542.0,7.0,4.0,0.0,538.0,7.0,771.0,8.0,6344.0,1387.0,5271.0,141.0
RI,Rhode Island ,2016,1160.0,64.0,0.0,64.0,21.0,0.0,21.0,31.0,795.0,249.0,63.0,1.0,0.0,0.0,63.0,1.0,21.0,0.0,0.0,0.0,21.0,0.0,31.0,0.0,759.0,36.0,249.0,0.0
SC,South Carolina ,2016,5051.0,266.0,20.0,246.0,48.0,2.0,46.0,76.0,3492.0,1169.0,151.0,115.0,14.0,6.0,137.0,109.0,44.0,4.0,2.0,0.0,42.0,4.0,72.0,4.0,2189.0,1303.0,905.0,264.0
SD,South Dakota ,2016,1072.0,77.0,9.0,68.0,19.0,1.0,18.0,25.0,471.0,480.0,69.0,8.0,9.0,0.0,60.0,8.0,16.0,3.0,1.0,0.0,15.0,3.0,21.0,4.0,377.0,94.0,404.0,76.0
TN,Tennessee ,2016,8779.0,416.0,26.0,390.0,107.0,0.0,107.0,147.0,6236.0,1873.0,249.0,167.0,22.0,4.0,227.0,163.0,74.0,33.0,0.0,0.0,74.0,33.0,108.0,39.0,3953.0,2283.0,1389.0,484.0
TX,Texas ,2016,23122.0,1309.0,187.0,1122.0,309.0,5.0,304.0,465.0,14650.0,6389.0,764.0,545.0,123.0,64.0,641.0,481.0,303.0,6.0,5.0,0.0,298.0,6.0,452.0,13.0,8551.0,6099.0,6144.0,245.0
UT,Utah ,2016,2807.0,150.0,18.0,132.0,17.0,0.0,17.0,30.0,1678.0,932.0,132.0,18.0,17.0,1.0,115.0,17.0,17.0,0.0,0.0,0.0,17.0,0.0,30.0,0.0,1480.0,198.0,912.0,20.0
VA,Virginia ,2016,6268.0,322.0,12.0,310.0,102.0,1.0,101.0,146.0,3637.0,2061.0,278.0,44.0,12.0,0.0,266.0,44.0,98.0,4.0,1.0,0.0,97.0,4.0,142.0,4.0,2967.0,670.0,2017.0,44.0
VT,Vermont ,2016,1117.0,71.0,1.0,70.0,46.0,0.0,46.0,49.0,584.0,367.0,62.0,9.0,1.0,0.0,61.0,9.0,43.0,3.0,0.0,0.0,43.0,3.0,46.0,3.0,454.0,130.0,356.0,11.0
WA,Washington ,2016,20827.0,1307.0,92.0,1215.0,295.0,6.0,289.0,455.0,12593.0,6177.0,714.0,593.0,77.0,15.0,637.0,578.0,279.0,16.0,6.0,0.0,273.0,16.0,434.0,21.0,5675.0,6918.0,5259.0,918.0
WI,Wisconsin ,2016,5685.0,337.0,25.0,312.0,188.0,0.0,188.0,267.0,2549.0,2344.0,273.0,64.0,20.0,5.0,253.0,59.0,188.0,0.0,0.0,0.0,188.0,0.0,267.0,0.0,2222.0,327.0,2325.0,19.0
WV,West Virginia ,2016,1387.0,95.0,6.0,89.0,19.0,0.0,19.0,35.0,944.0,294.0,83.0,12.0,5.0,1.0,78.0,11.0,19.0,0.0,0.0,0.0,19.0,0.0,35.0,0.0,821.0,123.0,294.0,0.0
WY,Wyoming ,2016,857.0,31.0,3.0,28.0,15.0,0.0,15.0,17.0,486.0,308.0,24.0,7.0,1.0,2.0,23.0,5.0,12.0,3.0,0.0,0.0,12.0,3.0,14.0,3.0,253.0,233.0,188.0,120.0
