year,total,individual,family,youth,child,yadult,yparent,yparent_u18,yparent_18to24,ypchild,state_name
2014,12164.0,7988.0,4176.0,,,,,,,,Oregon
2014,15333.0,8359.0,6974.0,,,,,,,,Pennsylvania
2014,1190.0,779.0,411.0,,,,,,,,Rhode Island
2014,5057.0,3813.0,1244.0,,,,,,,,South Carolina
2014,885.0,490.0,395.0,,,,,,,,South Dakota
2014,9415.0,6800.0,2615.0,,,,,,,,Tennessee
2014,28495.0,19177.0,9318.0,,,,,,,,Texas
2014,3081.0,1729.0,1352.0,,,,,,,,Utah
2014,7020.0,4234.0,2786.0,,,,,,,,Virginia
2014,1559.0,823.0,736.0,,,,,,,,Vermont
2014,18442.0,11390.0,7052.0,,,,,,,,Washington
2014,6055.0,2929.0,3126.0,,,,,,,,Wisconsin
2014,2013.0,1488.0,525.0,,,,,,,,West Virginia
2014,757.0,463.0,294.0,,,,,,,,Wyoming
2013,1946.0,1362.0,584.0,,,,,,,,Alaska
2013,4689.0,3387.0,1302.0,,,,,,,,Alabama
2013,3812.0,3174.0,638.0,,,,,,,,Arkansas
2013,10562.0,6510.0,4052.0,,,,,,,,Arizona
2013,118552.0,93458.0,25094.0,,,,,,,,California
2013,9754.0,4664.0,5090.0,,,,,,,,Colorado
2013,4448.0,3101.0,1347.0,,,,,,,,Connecticut
2013,6865.0,3696.0,3169.0,,,,,,,,Washington DC
2013,946.0,575.0,371.0,,,,,,,,Delaware
2013,47862.0,31359.0,16503.0,,,,,,,,Florida
2013,16971.0,12880.0,4091.0,,,,,,,,Georgia
2013,6335.0,3355.0,2980.0,,,,,,,,Hawaii
2013,3084.0,1524.0,1560.0,,,,,,,,Iowa
2013,1781.0,1084.0,697.0,,,,,,,,Idaho
2013,13425.0,7958.0,5467.0,,,,,,,,Illinois
2013,6096.0,3751.0,2345.0,,,,,,,,Indiana
2013,2693.0,1480.0,1213.0,,,,,,,,Kansas
2013,5245.0,3302.0,1943.0,,,,,,,,Kentucky
2013,5226.0,3908.0,1318.0,,,,,,,,Louisiana
2013,19029.0,6694.0,12335.0,,,,,,,,Massachusetts
2013,8205.0,5221.0,2984.0,,,,,,,,Maryland
2013,3016.0,1563.0,1453.0,,,,,,,,Maine
2013,11527.0,7236.0,4291.0,,,,,,,,Michigan
2013,8214.0,3728.0,4486.0,,,,,,,,Minnesota
2013,8581.0,4652.0,3929.0,,,,,,,,Missouri
2013,2403.0,1753.0,650.0,,,,,,,,Mississippi
2013,1878.0,1211.0,667.0,,,,,,,,Montana
2013,12168.0,7530.0,4638.0,,,,,,,,North Carolina
2013,2069.0,1230.0,839.0,,,,,,,,North Dakota
2013,3145.0,1892.0,1253.0,,,,,,,,Nebraska
2013,1447.0,798.0,649.0,,,,,,,,New Hampshire
2013,12002.0,6093.0,5909.0,,,,,,,,New Jersey
2013,2819.0,1786.0,1033.0,,,,,,,,New Mexico
2013,7039.0,6200.0,839.0,,,,,,,,Nevada
2013,77430.0,31235.0,46195.0,,,,,,,,New York
2013,12325.0,7611.0,4714.0,,,,,,,,Ohio
2013,4408.0,3179.0,1229.0,,,,,,,,Oklahoma
2013,13822.0,8994.0,4828.0,,,,,,,,Oregon
2013,15086.0,7973.0,7113.0,,,,,,,,Pennsylvania
2013,1384.0,862.0,522.0,,,,,,,,Rhode Island
2013,6544.0,4736.0,1808.0,,,,,,,,South Carolina
2013,1094.0,557.0,537.0,,,,,,,,South Dakota
2013,9528.0,6909.0,2619.0,,,,,,,,Tennessee
2013,29615.0,20758.0,8857.0,,,,,,,,Texas
2013,3277.0,1959.0,1318.0,,,,,,,,Utah
2013,7625.0,4532.0,3093.0,,,,,,,,Virginia
2013,1454.0,701.0,753.0,,,,,,,,Vermont
2013,17760.0,10617.0,7143.0,,,,,,,,Washington
2013,6104.0,3005.0,3099.0,,,,,,,,Wisconsin
2013,2240.0,1544.0,696.0,,,,,,,,West Virginia
2013,953.0,677.0,276.0,,,,,,,,Wyoming
2012,1913.0,1298.0,615.0,,,,,,,,Alaska
2012,5209.0,3825.0,1384.0,,,,,,,,Alabama
2012,4214.0,3428.0,786.0,,,,,,,,Arkansas
2012,11302.0,6310.0,4992.0,,,,,,,,Arizona
2012,120098.0,94888.0,25210.0,,,,,,,,California
