state,year,program,amount
CT,2003,Emergency Shelter Grants Program,1705000.0
CT,2003,HOME,21000797.0
CT,2003,HOPWA,3330000.0
CT,2004,CDBG,49213419.0
CT,2004,Emergency Shelter Grants Program,1806805.0
CT,2004,HOME,21291313.0
CT,2004,HOPWA,3285000.0
CT,2005,CDBG,46574724.0
CT,2005,CoC,18862244.0
CT,2005,Emergency Shelter Grants Program,1799895.0
CT,2005,HOME,20675728.0
CT,2005,HOPWA,3868000.0
CT,2006,CDBG,41994728.0
CT,2006,CoC,22446941.0
CT,2006,Emergency Shelter Grants Program,1791336.0
CT,2006,HOME,19477773.0
CT,2006,HOPWA,3276000.0
CT,2007,CDBG,42137985.0
CT,2007,CoC,24600296.0
CT,2007,Emergency Shelter Grants Program,1810963.0
CT,2007,HOME,19701760.0
CT,2007,HOPWA,3164000.0
CT,2008,CDBG,40837459.0
CT,2008,CoC,26554570.0
CT,2008,Emergency Shelter Grants Program,1815722.0
CT,2008,HOME,18939609.0
CT,2008,HOPWA,3120000.0
CT,2009,CDBG,41611948.0
CT,2009,CoC,30289050.0
CT,2009,Emergency Shelter Grants Program,1818224.0
CT,2009,HOME,21215756.0
CT,2009,HOPWA,3170975.0
CT,2009,NSP,25043385.0
CT,2010,CDBG,45226722.0
CT,2010,CoC,30984751.0
CT,2010,Emergency Shelter Grants Program,1824072.0
CT,2010,HOME,21146912.0
CT,2010,HOPWA,3307813.0
CT,2011,CDBG,37855191.0
CT,2011,CoC,32289468.0
CT,2011,ESG,1030705.0
CT,2011,Emergency Shelter Grants Program,1832362.0
CT,2011,HOME,18605946.0
CT,2011,HOPWA,3249162.0
CT,2011,NSP,9322756.0
CT,2012,CDBG,34325990.0
CT,2012,CoC,34098529.0
CT,2012,ESG,3278160.0
CT,2012,HOME,11467021.0
CT,2012,HOPWA,3228628.0
CT,2013,CDBG,36596101.0
CT,2013,CoC,35041141.0
CT,2013,ESG,2504216.0
CT,2013,HOME,11410961.0
CT,2013,HOPWA,3038789.0
CT,2014,CDBG,35950631.0
CT,2014,CoC,39109836.0
CT,2014,ESG,2973021.0
CT,2014,HOME,11688071.0
CT,2014,HOPWA,3085628.0
CT,2015,CDBG,35603051.0
CT,2015,CoC,43661777.0
CT,2015,ESG,3204518.0
CT,2015,HOME,10429072.0
CT,2015,HOPWA,3056652.0
CT,2016,CDBG,35627649.0
CT,2016,CoC,44583760.0
CT,2016,ESG,3204771.0
CT,2016,HOME,10906329.0
CT,2016,HOPWA,3075939.0
CT,2016,HTF,3000000.0
CT,2017,CDBG,35576587.0
CT,2017,CoC,45869536.0
CT,2017,ESG,3193473.0
CT,2017,HOME,10854983.0
CT,2017,HOPWA,3304914.0
CT,2017,HTF,3000000.0
CT,2018,CDBG,39228101.0
CT,2018,ESG,3201477.0
CT,2018,HOME,15134235.0
CT,2018,HOPWA,3429518.0
CT,2018,HTF,3269474.0
DC,2003,CDBG,22865000.0
DC,2003,Emergency Shelter Grants Program,795000.0
DC,2003,HOME,9179000.0
DC,2003,HOPWA,9862000.0
DC,2004,CDBG,22463000.0
DC,2004,Emergency Shelter Grants Program,836352.0
DC,2004,HOME,9341849.0
DC,2004,HOPWA,11802000.0
DC,2005,CDBG,21318203.0
DC,2005,CoC,15034436.0
DC,2005,Emergency Shelter Grants Program,821555.0
DC,2005,HOME,8999305.0
DC,2005,HOPWA,10535000.0
DC,2006,CDBG,19274630.0
DC,2006,CoC,16331309.0
DC,2006,Emergency Shelter Grants Program,819946.0
DC,2006,HOME,8554828.0
DC,2006,HOPWA,11370000.0
DC,2007,CDBG,18767297.0
DC,2007,CoC,17447828.0
DC,2007,Emergency Shelter Grants Program,831246.0
DC,2007,HOME,8621571.0
DC,2007,HOPWA,11118000.0
DC,2008,CDBG,18033221.0
DC,2008,CoC,18828068.0
DC,2008,Emergency Shelter Grants Program,808603.0
DC,2008,HOME,8408496.0
DC,2008,HOPWA,11541000.0
DC,2009,CDBG,18179591.0
DC,2009,CoC,19507419.0
DC,2009,Emergency Shelter Grants Program,802900.0
DC,2009,HOME,9322221.0
DC,2009,HOPWA,12213518.0
DC,2009,NSP,2836384.0
DC,2010,CDBG,19636404.0
DC,2010,CoC,19519271.0
DC,2010,Emergency Shelter Grants Program,796759.0
DC,2010,HOME,9346307.0
DC,2010,HOPWA,14118841.0
DC,2010,NSP,20182628.0
DC,2011,CDBG,16328680.0
DC,2011,CoC,20539506.0
DC,2011,ESG,447499.0
DC,2011,Emergency Shelter Grants Program,795554.0
DC,2011,HOME,8273607.0
DC,2011,HOPWA,13795546.0
DC,2011,NSP,5000000.0
DC,2012,CDBG,13904983.0
DC,2012,CoC,20404829.0
DC,2012,ESG,1414021.0
DC,2012,HOME,4343097.0
DC,2012,HOPWA,13623582.0
DC,2013,CDBG,14344993.0
DC,2013,CoC,20772313.0
DC,2013,ESG,1014410.0
DC,2013,HOME,4136820.0
DC,2013,HOPWA,12479642.0
DC,2014,CDBG,13970469.0
DC,2014,CoC,21213697.0
DC,2014,ESG,1165369.0
DC,2014,HOME,4292799.0
DC,2014,HOPWA,10732310.0
DC,2015,CDBG,13735515.0
DC,2015,CoC,23888687.0
DC,2015,ESG,1245280.0
DC,2015,HOME,3730426.0
DC,2015,HOPWA,11165299.0
DC,2016,CDBG,13778139.0
DC,2016,CoC,21390844.0
DC,2016,ESG,1236471.0
DC,2016,HOME,3906911.0
DC,2016,HOPWA,11107054.0
DC,2016,HTF,3000000.0
DC,2017,CDBG,13793763.0
DC,2017,CoC,22090633.0
DC,2017,ESG,1240411.0
DC,2017,HOME,3881774.0
DC,2017,HOPWA,11213151.0
DC,2017,HTF,3000000.0
DC,2018,CDBG,15223007.0
DC,2018,ESG,1241749.0
DC,2018,HOME,5637890.0
DC,2018,HOPWA,11221025.0
DC,2018,HTF,3000000.0
DE,2003,CDBG,8548000.0
DE,2003,Emergency Shelter Grants Program,276000.0
DE,2003,HOME,5056768.0
DE,2003,HOPWA,1239000.0
DE,2004,CDBG,8509495.0
DE,2004,Emergency Shelter Grants Program,312646.0
DE,2004,HOME,5075779.0
DE,2004,HOPWA,1696000.0
DE,2005,CDBG,8078560.0
DE,2005,CoC,4486962.0
DE,2005,Emergency Shelter Grants Program,311230.0
DE,2005,HOME,4973698.0
DE,2005,HOPWA,2204000.0
DE,2006,CDBG,7265349.0
DE,2006,CoC,4736426.0
DE,2006,Emergency Shelter Grants Program,310713.0
DE,2006,HOME,4861346.0
DE,2006,HOPWA,1611320.0
DE,2007,CDBG,7276016.0
DE,2007,CoC,4877641.0
DE,2007,Emergency Shelter Grants Program,313308.0
DE,2007,HOME,4841918.0
DE,2007,HOPWA,1468291.0
DE,2008,CDBG,7033983.0
DE,2008,CoC,5350442.0
DE,2008,Emergency Shelter Grants Program,313518.0
DE,2008,HOME,4782848.0
DE,2008,HOPWA,783000.0
DE,2009,CDBG,7141645.0
DE,2009,CoC,5350424.0
DE,2009,Emergency Shelter Grants Program,313177.0
DE,2009,HOME,5009677.0
DE,2009,HOPWA,838188.0
DE,2009,NSP,19600000.0
DE,2010,CDBG,7754022.0
DE,2010,CoC,5350441.0
DE,2010,Emergency Shelter Grants Program,313411.0
DE,2010,HOME,4985857.0
DE,2010,HOPWA,2489863.0
DE,2010,NSP,10007109.0
DE,2011,CDBG,6489675.0
DE,2011,CoC,5468405.0
DE,2011,ESG,176714.0
DE,2011,Emergency Shelter Grants Program,314158.0
DE,2011,HOME,4757579.0
DE,2011,HOPWA,892747.0
DE,2011,NSP,5000000.0
DE,2012,CDBG,6233818.0
DE,2012,CoC,6437700.0
DE,2012,ESG,561990.0
DE,2012,HOME,4142103.0
DE,2012,HOPWA,1633667.0
DE,2013,CDBG,6639673.0
DE,2013,CoC,6053588.0
DE,2013,ESG,454782.0
DE,2013,HOME,4130849.0
DE,2013,HOPWA,1590592.0
DE,2014,CDBG,6523901.0
DE,2014,CoC,6745030.0
DE,2014,ESG,539399.0
DE,2014,HOME,4244036.0
DE,2014,HOPWA,877579.0
DE,2015,CDBG,6394786.0
DE,2015,CoC,7785779.0
DE,2015,ESG,581518.0
DE,2015,HOME,4086530.0
DE,2015,HOPWA,1666700.0
DE,2016,CDBG,6417563.0
DE,2016,CoC,7858054.0
DE,2016,ESG,575625.0
DE,2016,HOME,4140401.0
DE,2016,HOPWA,846315.0
DE,2016,HTF,3000000.0
DE,2017,CDBG,6357664.0
DE,2017,CoC,7952480.0
DE,2017,ESG,575383.0
DE,2017,HOME,4129847.0
DE,2017,HOPWA,964350.0
DE,2017,HTF,3000000.0
DE,2018,CDBG,7027003.0
DE,2018,ESG,571852.0
DE,2018,HOME,4552577.0
DE,2018,HOPWA,1043164.0
DE,2018,HTF,3000000.0
FL,2003,CDBG,190762000.0
FL,2003,Emergency Shelter Grants Program,6195000.0
FL,2003,HOME,84225436.0
FL,2003,HOPWA,31693000.0
FL,2004,CDBG,189116184.0
FL,2004,Emergency Shelter Grants Program,6977570.0
FL,2004,HOME,84125727.0
FL,2004,HOPWA,33815000.0
FL,2005,CDBG,179737017.0
FL,2005,CoC,58053746.0
FL,2005,Emergency Shelter Grants Program,6916690.0
FL,2005,HOME,80501019.0
FL,2005,HOPWA,33273000.0
FL,2006,CDBG,162279791.0
FL,2006,CoC,56269722.0
FL,2006,Emergency Shelter Grants Program,6911411.0
FL,2006,HOME,76598660.0
FL,2006,HOPWA,34125841.0
FL,2007,CDBG,162634219.0
FL,2007,CoC,62693380.0
FL,2007,Emergency Shelter Grants Program,6996714.0
FL,2007,HOME,75985512.0
FL,2007,HOPWA,36319500.0
FL,2008,CDBG,157721933.0
FL,2008,CoC,67181336.0
FL,2008,Emergency Shelter Grants Program,7007637.0
FL,2008,HOME,73345169.0
FL,2008,HOPWA,37546000.0
FL,2009,CDBG,159357072.0
FL,2009,CoC,73809392.0
FL,2009,Emergency Shelter Grants Program,7000189.0
FL,2009,HOME,81500076.0
FL,2009,HOPWA,37518321.0
FL,2009,NSP,541364780.0
FL,2010,CDBG,172387975.0
FL,2010,CoC,77739489.0
FL,2010,Emergency Shelter Grants Program,6996261.0
FL,2010,HOME,81120475.0
FL,2010,HOPWA,42688112.0
FL,2010,NSP,273612500.0
FL,2011,CDBG,143959449.0
