state,state_name,year,total,chronic,sh_chronic,uns_chronic,non_chronic,sh_chronic_ind,uns_chronic_ind,sh_chronic_fam,uns_chronic_fam
DE,Delaware ,2015,953.0,80.0,75.0,5.0,873.0,59.0,5.0,16.0,0.0
FL,Florida ,2015,35900.0,6540.0,1383.0,5157.0,29360.0,1210.0,4811.0,173.0,346.0
GA,Georgia ,2015,13790.0,2137.0,622.0,1515.0,11653.0,568.0,1426.0,54.0,89.0
HI,Hawaii ,2015,7620.0,1534.0,180.0,1354.0,6086.0,153.0,1219.0,27.0,135.0
IA,Iowa ,2015,3081.0,275.0,221.0,54.0,2806.0,147.0,54.0,74.0,0.0
ID,Idaho ,2015,1966.0,245.0,112.0,133.0,1721.0,84.0,80.0,28.0,53.0
IL,Illinois ,2015,13177.0,1912.0,994.0,918.0,11265.0,892.0,907.0,102.0,11.0
IN,Indiana ,2015,5863.0,703.0,529.0,174.0,5160.0,450.0,158.0,79.0,16.0
KS,Kansas ,2015,2588.0,379.0,245.0,134.0,2209.0,214.0,125.0,31.0,9.0
KY,Kentucky ,2015,4538.0,457.0,413.0,44.0,4081.0,345.0,38.0,68.0,6.0
LA,Louisiana ,2015,4081.0,773.0,287.0,486.0,3308.0,255.0,480.0,32.0,6.0
MA,Massachusetts ,2015,21135.0,2561.0,2320.0,241.0,18574.0,1170.0,241.0,1150.0,0.0
MD,Maryland ,2015,8390.0,1847.0,1016.0,831.0,6543.0,923.0,711.0,93.0,120.0
ME,Maine ,2015,2372.0,217.0,203.0,14.0,2155.0,179.0,14.0,24.0,0.0
MI,Michigan ,2015,10516.0,935.0,621.0,314.0,9581.0,519.0,311.0,102.0,3.0
MN,Minnesota ,2015,7546.0,1396.0,1054.0,342.0,6150.0,833.0,291.0,221.0,51.0
MO,Missouri ,2015,6482.0,1025.0,652.0,373.0,5457.0,536.0,339.0,116.0,34.0
MS,Mississippi ,2015,1983.0,243.0,67.0,176.0,1740.0,67.0,166.0,0.0,10.0
