State,Year,Number of CoCs,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Homeless People in Families,Unsheltered Homeless People in Families,Chronically Homeless,Sheltered Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Homeless Veterans,Unsheltered Homeless Veterans,Homeless Unaccompanied Youth (Under 25),Sheltered Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth (Under 25),Homeless Unaccompanied Children (Under 18),Sheltered Homeless Unaccompanied Children (Under 18),Unsheltered Homeless Unaccompanied Children (Under 18),Homeless Unaccompanied Young Adults (Age 18-24),Sheltered Homeless Unaccompanied Young Adults (Age 18-24),Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),Parenting Youth (Under 25),Sheltered Parenting Youth (Under 25),Unsheltered Parenting Youth (Under 25),Parenting Youth Under 18,Sheltered Parenting Youth Under 18,Unsheltered Parenting Youth Under 18,Parenting Youth Age 18-24,Sheltered Parenting Youth Age 18-24,Unsheltered Parenting Youth Age 18-24,Children of Parenting Youth,Sheltered Children of Parenting Youth,Unsheltered Children of Parenting Youth
KY,2016,3,"4,237","3,531",706,"2,949","2,400",549,"1,288","1,131",157,382,235,147,353,218,135,29,17,12,512,452,60,220,172,48,21,21,0,199,151,48,73,69,4,0,0,0,73,69,4,109,104,5
LA,2016,9,"3,994","2,853","1,141","3,176","2,069","1,107",818,784,34,570,167,403,570,167,403,0,0,0,400,363,37,408,276,132,63,57,6,345,219,126,47,44,3,1,1,0,46,43,3,85,82,3
MA,2016,16,"19,608","18,848",760,"6,434","5,690",744,"13,174","13,158",16,"2,325","2,074",251,"1,272","1,023",249,"1,053","1,051",2,949,915,34,374,320,54,15,9,6,359,311,48,554,554,0,6,6,0,548,548,0,699,699,0
MD,2016,16,"7,689","6,161","1,528","4,983","3,751","1,232","2,706","2,410",296,"1,364",844,520,"1,277",782,495,87,62,25,555,436,119,279,185,94,15,5,10,264,180,84,148,141,7,0,0,0,148,141,7,225,216,9
ME,2016,2,"2,241","2,121",120,"1,321","1,215",106,920,906,14,217,174,43,199,156,43,18,18,0,146,125,21,177,161,16,31,29,2,146,132,14,34,32,2,3,3,0,31,29,2,38,37,1
MI,2016,21,"9,316","8,356",960,"5,803","4,973",830,"3,513","3,383",130,776,579,197,719,525,194,57,54,3,822,758,64,725,624,101,102,98,4,623,526,97,251,248,3,6,6,0,245,242,3,381,376,5
MN,2016,10,"7,341","6,452",889,"3,669","2,902",767,"3,672","3,550",122,873,718,155,715,570,145,158,148,10,279,248,31,730,613,117,89,75,14,641,538,103,254,251,3,9,9,0,245,242,3,377,374,3
MO,2016,8,"6,194","4,978","1,216","3,810","2,830",980,"2,384","2,148",236,"1,136",765,371,891,565,326,245,200,45,575,494,81,638,489,149,201,168,33,437,321,116,138,130,8,5,5,0,133,125,8,204,199,5
MP,2016,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MS,2016,3,"1,738",889,849,"1,299",556,743,439,333,106,183,28,155,180,28,152,3,0,3,144,58,86,85,45,40,10,10,0,75,35,40,14,5,9,0,0,0,14,5,9,23,7,16
MT,2016,1,"1,418",788,630,844,443,401,574,345,229,137,26,111,117,21,96,20,5,15,165,92,73,100,52,48,13,4,9,87,48,39,22,16,6,0,0,0,22,16,6,22,18,4
NC,2016,12,"9,559","7,250","2,309","6,396","4,682","1,714","3,163","2,568",595,"1,184",638,546,999,527,472,185,111,74,888,730,158,497,385,112,65,55,10,432,330,102,135,120,15,0,0,0,135,120,15,200,185,15
ND,2016,1,923,707,216,662,509,153,261,198,63,120,41,79,89,41,48,31,0,31,116,63,53,74,61,13,10,10,0,64,51,13,13,9,4,0,0,0,13,9,4,18,10,8
NE,2016,3,"2,754","2,653",101,"1,880","1,779",101,874,874,0,233,196,37,200,163,37,33,33,0,219,211,8,238,238,0,40,40,0,198,198,0,34,34,0,0,0,0,34,34,0,44,44,0
