State,Year,Number of CoCs,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Homeless People in Families,Unsheltered Homeless People in Families,Chronically Homeless,Sheltered Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Homeless Veterans,Unsheltered Homeless Veterans,Homeless Unaccompanied Youth (Under 25),Sheltered Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth (Under 25),Homeless Unaccompanied Children (Under 18),Sheltered Homeless Unaccompanied Children (Under 18),Unsheltered Homeless Unaccompanied Children (Under 18),Homeless Unaccompanied Young Adults (Age 18-24),Sheltered Homeless Unaccompanied Young Adults (Age 18-24),Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),Parenting Youth (Under 25),Sheltered Parenting Youth (Under 25),Unsheltered Parenting Youth (Under 25),Parenting Youth Under 18,Sheltered Parenting Youth Under 18,Unsheltered Parenting Youth Under 18,Parenting Youth Age 18-24,Sheltered Parenting Youth Age 18-24,Unsheltered Parenting Youth Age 18-24,Children of Parenting Youth,Sheltered Children of Parenting Youth,Unsheltered Children of Parenting Youth
NJ,2011,19,"14,137","12,830","1,307","6,841","5,960",881,"7,296","6,870",426,955,788,167,750,610,140,205,178,27,811,668,143,,,,,,,,,,,,,,,,,,,,,
NM,2011,2,"3,601","2,753",848,"2,246","1,581",665,"1,355","1,172",183,"1,117",658,459,971,564,407,146,94,52,364,221,143,,,,,,,,,,,,,,,,,,,,,
NV,2011,3,"9,150","4,545","4,605","7,973","3,403","4,570","1,177","1,142",35,"1,353",196,"1,157","1,342",187,"1,155",11,9,2,"1,240",692,548,,,,,,,,,,,,,,,,,,,,,
NY,2011,32,"63,445","59,778","3,667","27,338","23,842","3,496","36,107","35,936",171,"4,208","2,070","2,138","3,840","1,755","2,085",368,315,53,"5,765","5,246",519,,,,,,,,,,,,,,,,,,,,,
OH,2011,9,"13,030","11,224","1,806","7,812","6,329","1,483","5,218","4,895",323,"2,014","1,382",632,"1,881","1,288",593,133,94,39,"1,279","1,083",196,,,,,,,,,,,,,,,,,,,,,
OK,2011,8,"4,625","2,988","1,637","3,236","2,070","1,166","1,389",918,471,793,418,375,568,307,261,225,111,114,356,301,55,,,,,,,,,,,,,,,,,,,,,
OR,2011,7,"17,254","7,012","10,242","9,445","3,249","6,196","7,809","3,763","4,046","3,739",916,"2,823","3,017",704,"2,313",722,212,510,"1,474",655,819,,,,,,,,,,,,,,,,,,,,,
PA,2011,18,"15,096","14,036","1,060","7,867","6,872",995,"7,229","7,164",65,"1,719","1,139",580,"1,508",938,570,211,201,10,"1,392","1,262",130,,,,,,,,,,,,,,,,,,,,,
PR,2011,2,"2,900","1,034","1,866","2,346",796,"1,550",554,238,316,"3,564",564,"3,000","1,647",249,"1,398","1,917",315,"1,602",137,50,87,,,,,,,,,,,,,,,,,,,,,
RI,2011,1,"1,070","1,039",31,652,621,31,418,418,0,176,171,5,176,171,5,0,0,0,123,121,2,,,,,,,,,,,,,,,,,,,,,
SC,2011,4,"5,093","2,954","2,139","3,505","1,967","1,538","1,588",987,601,645,231,414,504,229,275,141,2,139,612,389,223,,,,,,,,,,,,,,,,,,,,,
SD,2011,1,826,762,64,460,413,47,366,349,17,34,21,13,34,21,13,0,0,0,109,99,10,,,,,,,,,,,,,,,,,,,,,
TN,2011,10,"9,113","5,915","3,198","6,475","4,238","2,237","2,638","1,677",961,"1,757",904,853,"1,661",828,833,96,76,20,965,732,233,,,,,,,,,,,,,,,,,,,,,
TX,2011,16,"36,911","18,972","17,939","23,577","10,407","13,170","13,334","8,565","4,769","8,223","3,253","4,970","7,390","2,695","4,695",833,558,275,"4,891","2,365","2,526",,,,,,,,,,,,,,,,,,,,,
UT,2011,3,"3,130","2,687",443,"1,842","1,434",408,"1,288","1,253",35,383,284,99,364,265,99,19,19,0,345,310,35,,,,,,,,,,,,,,,,,,,,,
VA,2011,20,"8,816","7,386","1,430","5,231","4,017","1,214","3,585","3,369",216,"1,643","1,029",614,"1,571",973,598,72,56,16,931,768,163,,,,,,,,,,,,,,,,,,,,,
VI,2011,1,532,154,378,450,72,378,82,82,0,195,4,191,195,4,191,0,0,0,32,0,32,,,,,,,,,,,,,,,,,,,,,
VT,2011,2,"1,144","1,021",123,637,533,104,507,488,19,114,87,27,94,67,27,20,20,0,81,75,6,,,,,,,,,,,,,,,,,,,,,
WA,2011,7,"20,439","15,075","5,364","10,868","6,218","4,650","9,571","8,857",714,"2,388","1,313","1,075","2,136","1,211",925,252,102,150,"1,478","1,167",311,,,,,,,,,,,,,,,,,,,,,
WI,2011,4,"5,785","5,355",430,"2,838","2,504",334,"2,947","2,851",96,497,425,72,410,347,63,87,78,9,607,584,23,,,,,,,,,,,,,,,,,,,,,
WV,2011,4,"2,211","1,405",806,"1,662",992,670,549,413,136,299,189,110,287,179,108,12,10,2,302,236,66,,,,,,,,,,,,,,,,,,,,,
WY,2011,1,"1,038",195,843,320,127,193,718,68,650,104,27,77,82,27,55,22,0,22,83,39,44,,,,,,,,,,,,,,,,,,,,,
AK,2010,2,"1,863","1,671",192,"1,118",953,165,745,718,27,164,119,45,300,270,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2010,8,"6,046","3,891","2,155","4,553","2,857","1,696","1,493","1,034",459,"1,043",502,541,"1,089",911,178,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,2010,5,"2,762","1,728","1,034","2,120","1,312",808,642,416,226,395,145,250,362,247,115,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,2010,3,"13,711","7,214","6,497","9,226","3,366","5,860","4,485","3,848",637,"1,935",544,"1,391","2,230","1,052","1,178",,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,2010,43,"123,480","50,899","72,581","96,940","32,302","64,638","26,540","18,597","7,943","31,235","6,964","24,271","17,604","6,600","11,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,2010,3,"15,482","9,031","6,451","7,574","4,576","2,998","7,908","4,455","3,453","1,432",510,922,"1,316",853,463,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,2010,10,"4,316","3,817",499,"2,993","2,511",482,"1,323","1,306",17,777,595,182,483,423,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,2010,1,"6,539","6,109",430,"4,016","3,586",430,"2,523","2,523",0,"2,110","1,723",387,579,563,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,2010,1,982,930,52,681,629,52,301,301,0,97,71,26,74,69,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,2010,28,"57,551","21,817","35,734","35,738","13,231","22,507","21,813","8,586","13,227","9,232","3,700","5,532","7,794","2,818","4,976",,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2010,7,"19,836","8,746","11,090","14,377","5,612","8,765","5,459","3,134","2,325","3,635","1,495","2,140","2,766","1,372","1,394",,,,,,,,,,,,,,,,,,,,,,,,,,,
GU,2010,1,"1,635",182,"1,453",534,37,497,"1,101",145,956,28,1,27,27,5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,2010,2,"5,834","3,535","2,299","2,889",944,"1,945","2,945","2,591",354,801,96,705,419,176,243,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,2010,3,"3,014","2,903",111,"1,528","1,426",102,"1,486","1,477",9,249,182,67,221,207,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2010,2,"2,346","1,564",782,"1,445",831,614,901,733,168,111,37,74,239,128,111,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,2010,21,"14,395","12,208","2,187","7,568","5,767","1,801","6,827","6,441",386,"2,130","1,435",695,"1,133",886,247,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,2010,3,"6,452","5,233","1,219","3,588","2,736",852,"2,864","2,497",367,775,478,297,767,633,134,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,2010,5,"2,024","1,828",196,"1,318","1,166",152,706,662,44,191,149,42,711,660,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,2010,3,"6,623","5,599","1,024","4,125","3,261",864,"2,498","2,338",160,695,404,291,619,534,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,2010,9,"12,482","4,096","8,386","10,101","2,390","7,711","2,381","1,706",675,"4,815",226,"4,589","2,015",502,"1,513",,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,2010,20,"16,646","15,595","1,051","6,403","5,483",920,"10,243","10,112",131,"2,007","1,502",505,"1,597","1,449",148,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,2010,16,"10,845","6,515","4,330","5,999","3,902","2,097","4,846","2,613","2,233","2,179","1,231",948,910,646,264,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,2010,3,"2,379","2,351",28,"1,061","1,033",28,"1,318","1,318",0,226,221,5,108,105,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,2010,21,"13,058","10,219","2,839","7,365","5,371","1,994","5,693","4,848",845,"1,824","1,309",515,964,785,179,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,2010,11,"7,869","6,730","1,139","3,605","2,934",671,"4,264","3,796",468,"1,490","1,149",341,644,553,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,2010,8,"8,122","6,336","1,786","4,427","3,290","1,137","3,695","3,046",649,"1,287",977,310,759,629,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,2010,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2010,3,"2,743","1,181","1,562","1,924",661,"1,263",819,520,299,357,130,227,339,215,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,2010,1,"1,615","1,168",447,890,562,328,725,606,119,145,96,49,262,156,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,2010,12,"12,191","9,173","3,018","8,361","5,892","2,469","3,830","3,281",549,"1,479","1,077",402,"1,084",907,177,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,2010,1,799,768,31,539,513,26,260,255,5,64,61,3,119,114,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,2010,7,"3,877","3,355",522,"2,423","2,018",405,"1,454","1,337",117,535,416,119,305,243,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,2010,3,"1,574","1,337",237,943,740,203,631,597,34,326,280,46,173,143,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,2010,20,"13,737","12,083","1,654","6,520","5,271","1,249","7,217","6,812",405,877,617,260,567,488,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,2010,2,"3,475","2,108","1,367","2,343","1,102","1,241","1,132","1,006",126,779,341,438,441,259,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,2010,3,"11,205","7,848","3,357","9,565","6,233","3,332","1,640","1,615",25,"1,415",253,"1,162","1,843","1,230",613,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,2010,32,"65,606","61,467","4,139","26,293","22,292","4,001","39,313","39,175",138,"4,259","1,905","2,354","5,857","5,046",811,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,2010,9,"12,569","10,729","1,840","7,719","6,295","1,424","4,850","4,434",416,"2,240","1,676",564,"1,527","1,293",234,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,2010,8,"5,229","3,315","1,914","3,317","2,239","1,078","1,912","1,076",836,620,395,225,474,350,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,2010,8,"19,492","7,231","12,261","10,731","3,654","7,077","8,761","3,577","5,184","2,601",683,"1,918","1,285",573,712,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,2010,17,"14,516","13,418","1,098","7,191","6,125","1,066","7,325","7,293",32,"1,524",868,656,"1,441","1,274",167,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,2010,2,"4,149","1,404","2,745","3,721","1,124","2,597",428,280,148,"2,218",684,"1,534",106,33,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,2010,1,"1,282","1,206",76,704,632,72,578,574,4,86,60,26,91,87,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,2010,4,"4,473","3,036","1,437","3,194","1,945","1,249","1,279","1,091",188,674,392,282,687,497,190,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,2010,1,731,667,64,445,381,64,286,286,0,109,45,64,135,118,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,2010,10,"10,276","6,999","3,277","7,623","5,060","2,563","2,653","1,939",714,"2,495","1,496",999,"1,679","1,075",604,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,2010,17,"35,121","19,191","15,930","24,078","11,249","12,829","11,043","7,942","3,101","6,512","2,577","3,935","5,133","2,688","2,445",,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,2010,3,"3,284","2,722",562,"1,926","1,393",533,"1,358","1,329",29,406,125,281,342,301,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,2010,22,"9,080","7,439","1,641","5,338","3,966","1,372","3,742","3,473",269,"1,510",983,527,995,830,165,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,2010,1,487,92,395,468,73,395,19,19,0,385,20,365,42,10,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,2010,2,"1,220","1,078",142,797,672,125,423,406,17,133,85,48,117,104,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,2010,7,"22,878","16,489","6,389","11,901","6,705","5,196","10,977","9,784","1,193","2,106","1,281",825,"2,043","1,282",761,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,2010,4,"6,333","5,253","1,080","3,040","2,598",442,"3,293","2,655",638,727,608,119,609,581,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,2010,4,"2,264","1,524",740,"1,527","1,048",479,737,476,261,516,358,158,576,393,183,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,2010,1,579,515,64,327,269,58,252,246,6,101,52,49,85,71,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2009,2,"1,992","1,665",327,"1,239",989,250,753,676,77,323,245,78,259,222,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2009,8,"6,080","3,913","2,167","4,686","3,031","1,655","1,394",882,512,"1,189",652,537,"1,063",858,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,2009,6,"2,852","1,730","1,122","2,181","1,297",884,671,433,238,406,146,260,249,168,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,2009,3,"14,721","8,366","6,355","9,959","4,291","5,668","4,762","4,075",687,"2,229",538,"1,691","2,343","1,216","1,127",,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,2009,43,"123,678","50,777","72,901","97,534","32,417","65,117","26,144","18,360","7,784","31,412","7,001","24,411","17,973","6,799","11,174",,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,2009,3,"15,268","9,031","6,237","7,401","4,576","2,825","7,867","4,455","3,412","1,286",510,776,"1,471",964,507,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,2009,12,"4,605","4,103",502,"2,773","2,288",485,"1,832","1,815",17,824,640,184,462,401,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,2009,1,"6,228","5,907",321,"3,934","3,613",321,"2,294","2,294",0,"1,923","1,632",291,642,613,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,2009,1,"1,130","1,083",47,776,729,47,354,354,0,167,150,17,100,91,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,2009,28,"55,599","21,867","33,732","34,432","13,827","20,605","21,167","8,040","13,127","9,062","3,493","5,569","7,135","2,907","4,228",,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2009,7,"20,360","9,419","10,941","14,365","5,765","8,600","5,995","3,654","2,341","3,771","1,620","2,151","2,760","1,373","1,387",,,,,,,,,,,,,,,,,,,,,,,,,,,
GU,2009,1,"1,088",182,906,391,52,339,697,130,567,87,19,68,22,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,2009,2,"5,782","3,268","2,514","2,941","1,009","1,932","2,841","2,259",582,772,124,648,499,234,265,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,2009,3,"3,380","3,221",159,"1,655","1,524",131,"1,725","1,697",28,306,238,68,270,247,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2009,2,"1,939","1,477",462,"1,117",821,296,822,656,166,210,157,53,270,194,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,2009,21,"14,055","11,851","2,204","7,475","5,642","1,833","6,580","6,209",371,"2,212","1,564",648,"1,028",801,227,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,2009,3,"6,984","5,206","1,778","4,151","2,687","1,464","2,833","2,519",314,765,505,260,740,586,154,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,2009,5,"1,892","1,696",196,"1,238","1,086",152,654,610,44,238,196,42,638,578,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,2009,3,"5,999","5,299",700,"3,302","2,765",537,"2,697","2,534",163,671,491,180,675,597,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,2009,9,"12,504","4,118","8,386","10,098","2,387","7,711","2,406","1,731",675,"4,815",226,"4,589","1,985",441,"1,544",,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,2009,20,"15,482","14,476","1,006","7,057","6,174",883,"8,425","8,302",123,"1,937","1,490",447,"1,890","1,709",181,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,2009,16,"11,698","7,446","4,252","6,641","4,623","2,018","5,057","2,823","2,234","2,062","1,243",819,932,698,234,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,2009,3,"2,444","2,406",38,"1,124","1,092",32,"1,320","1,314",6,186,178,8,123,119,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,2009,22,"14,005","11,298","2,707","7,857","6,019","1,838","6,148","5,279",869,"1,649","1,171",478,"1,054",877,177,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,2009,11,"7,718","6,772",946,"3,393","2,668",725,"4,325","4,104",221,"1,449","1,129",320,525,441,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,2009,8,"6,959","5,469","1,490","3,823","2,933",890,"3,136","2,536",600,892,691,201,699,569,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,2009,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2009,3,"2,797","1,221","1,576","1,843",655,"1,188",954,566,388,522,152,370,358,197,161,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,2009,1,"1,196",833,363,752,481,271,444,352,92,160,107,53,206,128,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,2009,12,"12,918","8,473","4,445","9,159","5,576","3,583","3,759","2,897",862,"1,490","1,107",383,"1,118",854,264,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,2009,1,773,765,8,548,540,8,225,225,0,70,66,4,168,166,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,2009,7,"3,718","3,079",639,"2,072","1,747",325,"1,646","1,332",314,495,413,82,298,263,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,2009,3,"1,645","1,406",239,891,670,221,754,736,18,330,285,45,167,150,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,2009,20,"13,169","11,871","1,298","5,962","5,005",957,"7,207","6,866",341,934,704,230,618,542,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,2009,2,"3,475","2,108","1,367","2,343","1,102","1,241","1,132","1,006",126,779,341,438,408,226,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,2009,3,"11,089","7,792","3,297","9,394","6,143","3,251","1,695","1,649",46,"1,297",196,"1,101","1,936","1,329",607,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,2009,32,"61,067","57,454","3,613","24,557","21,005","3,552","36,510","36,449",61,"4,280","2,272","2,008","5,879","5,047",832,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,2009,9,"12,700","10,929","1,771","7,774","6,430","1,344","4,926","4,499",427,"2,303","1,838",465,"1,390","1,185",205,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,2009,8,"4,838","3,307","1,531","3,227","2,185","1,042","1,611","1,122",489,654,538,116,475,416,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,2009,8,"17,309","7,442","9,867","10,443","3,992","6,451","6,866","3,450","3,416","2,842",919,"1,923","1,277",672,605,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,2009,17,"15,096","13,819","1,277","7,384","6,191","1,193","7,712","7,628",84,"1,798","1,027",771,"1,440","1,282",158,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,2009,2,"4,070","1,325","2,745","3,730","1,133","2,597",340,192,148,"2,195",661,"1,534",97,24,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,2009,1,"1,607","1,556",51,"1,139","1,088",51,468,468,0,220,190,30,120,113,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,2009,5,"4,473","3,036","1,437","3,194","1,945","1,249","1,279","1,091",188,674,392,282,629,439,190,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,2009,1,731,667,64,445,381,64,286,286,0,109,45,64,160,138,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,2009,10,"10,532","7,133","3,399","8,048","5,520","2,528","2,484","1,613",871,"2,632","1,498","1,134","1,142",839,303,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,2009,18,"36,761","21,658","15,103","22,564","12,943","9,621","14,197","8,715","5,482","6,020","2,741","3,279","5,491","2,735","2,756",,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,2009,3,"3,795","3,540",255,"2,242","1,987",255,"1,553","1,553",0,700,445,255,166,110,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,2009,22,"8,852","7,284","1,568","5,066","3,863","1,203","3,786","3,421",365,"1,621","1,034",587,960,782,178,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,2009,1,471,76,395,430,35,395,41,41,0,369,4,365,32,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,2009,2,"1,214","1,057",157,693,571,122,521,486,35,134,79,55,61,52,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,2009,7,"22,782","16,237","6,545","12,086","6,639","5,447","10,696","9,598","1,098","2,609","1,608","1,001","1,963","1,168",795,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,2009,4,"6,525","5,465","1,060","3,161","2,733",428,"3,364","2,732",632,716,612,104,608,575,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,2009,4,"1,667","1,278",389,"1,101",848,253,566,430,136,337,239,98,271,177,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,2009,1,515,451,64,340,282,58,175,169,6,79,30,49,117,95,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2008,2,"1,646","1,452",194,"1,067",912,155,579,540,39,439,355,84,218,189,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2008,8,"5,387","3,843","1,544","4,086","2,803","1,283","1,301","1,040",261,"1,052",579,473,801,677,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,2008,6,"3,255","2,020","1,235","2,625","1,617","1,008",630,403,227,893,492,401,235,219,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,2008,3,"12,488","6,970","5,518","8,428","3,376","5,052","4,060","3,594",466,"3,097","1,223","1,874",736,736,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,2008,42,"136,531","46,965","89,566","109,050","28,505","80,545","27,481","18,460","9,021","40,254","6,206","34,048","17,276","5,735","11,541",,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,2008,3,"14,747","6,877","7,870","6,260","2,984","3,276","8,487","3,893","4,594","1,082",449,633,"1,608",915,693,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,2008,12,"4,627","4,020",607,"2,773","2,185",588,"1,854","1,835",19,875,578,297,524,401,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,2008,1,"6,044","5,666",378,"4,208","3,830",378,"1,836","1,836",0,"2,184","1,840",344,667,641,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,2008,1,933,862,71,652,581,71,281,281,0,248,221,27,127,108,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,2008,28,"50,158","20,724","29,434","32,959","12,331","20,628","17,199","8,393","8,806","8,578","2,555","6,023","5,780","2,691","3,089",,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2008,7,"19,095","8,865","10,230","13,728","5,716","8,012","5,367","3,149","2,218","2,671","1,037","1,634","3,336","1,921","1,415",,,,,,,,,,,,,,,,,,,,,,,,,,,
GU,2008,1,725,103,622,254,53,201,471,50,421,50,39,11,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,2008,2,"6,061","2,703","3,358","3,326","1,091","2,235","2,735","1,612","1,123",778,132,646,223,223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,2008,3,"3,346","3,087",259,"1,609","1,421",188,"1,737","1,666",71,277,225,52,284,271,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2008,2,"1,464","1,250",214,817,657,160,647,593,54,46,11,35,131,78,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,2008,21,"14,724","11,480","3,244","8,356","5,697","2,659","6,368","5,783",585,"2,557","1,436","1,121","1,286",839,447,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,2008,3,"7,395","5,923","1,472","4,937","3,617","1,320","2,458","2,306",152,696,249,447,535,455,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,2008,5,"1,738","1,500",238,"1,080",897,183,658,603,55,177,132,45,313,295,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,2008,3,"8,137","6,195","1,942","4,344","3,247","1,097","3,793","2,948",845,642,380,262,"1,046",944,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,2008,9,"5,481","3,700","1,781","2,894","1,905",989,"2,587","1,795",792,613,177,436,432,305,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,2008,21,"14,506","13,437","1,069","7,127","6,223",904,"7,379","7,214",165,"2,352","1,830",522,"1,302","1,262",40,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,2008,16,"9,219","6,054","3,165","4,806","3,335","1,471","4,413","2,719","1,694","1,489",729,760,541,499,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,2008,3,"2,632","2,588",44,"1,241","1,201",40,"1,391","1,387",4,132,123,9,89,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,2008,22,"28,248","11,781","16,467","17,364","7,014","10,350","10,884","4,767","6,117","2,771","1,084","1,687",832,715,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,2008,11,"7,644","6,270","1,374","3,388","2,317","1,071","4,256","3,953",303,"1,537","1,052",485,595,477,118,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,2008,8,"7,687","5,607","2,080","4,195","2,784","1,411","3,492","2,823",669,"1,226",903,323,377,312,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,2008,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
